community_id;date_created;title;current_subs;ID;Href;Verivication;First post;Second post
51425582514381;31.07.2012;АДМИНИСТРАТОР ЦИРКА;4022;187;https://ok.ru/group/51425582514381;ЛОЖЬ;1 мая 2022;1:08
53241144344721;22.04.2017;сварщики и монтажники вахтовики;4010;188;https://ok.ru/group/53241144344721;ЛОЖЬ;8:54;6:10
52689034215638;31.10.2015;Работа в шарыпово...;3974;190;https://ok.ru/group/52689034215638;ЛОЖЬ;9:56;9:56
52086749659366;23.03.2012;маз + камаз = белаз;3969;191;https://ok.ru/group/52086749659366;ЛОЖЬ;1 июн;1 июн
54681736380424;02.11.2015;Работа в Новочеркасске;3910;192;https://ok.ru/group/54681736380424;ЛОЖЬ;16 мая;16 мая
54407740457147;05.11.2018;Все конкурсы, гранты, стипендии и вакансии;3901;193;https://ok.ru/group/54407740457147;ЛОЖЬ;12:16;вчера 22:26
61664598163538;31.03.2022;Магадан Работа;3870;194;https://ok.ru/group/61664598163538;ЛОЖЬ;15 мая;вчера 13:56
52652333662369;26.05.2015;Работа в Павлодаре;3837;196;https://ok.ru/group/52652333662369;ЛОЖЬ;6:55;вчера 09:41
50579338166367;27.06.2010;фермер;3836;197;https://ok.ru/group/50579338166367;ЛОЖЬ;вчера 02:44;31 мая
52119113105498;05.09.2013;Псковская Лента Новостей;3782;198;https://ok.ru/group/52119113105498;ЛОЖЬ;5 мая;11:28
53185731166459;31.07.2014;ВСЕ ДЛЯ ЦИРКА.;3773;199;https://ok.ru/group/53185731166459;ЛОЖЬ;1:09;вчера 16:59
54275206217731;30.06.2013;Работа Для граждан РФ, СНГ,  ДНР,  ЛНР;3764;200;https://ok.ru/group/54275206217731;ЛОЖЬ;1 июн;30 мая
50938633191502;03.08.2011;Росперсонал - отзывы, новости, события;3754;201;https://ok.ru/group/50938633191502;ЛОЖЬ;12 апр;10 апр
58184826159325;11.07.2020;Работа Киров;3733;203;https://ok.ru/group/58184826159325;ЛОЖЬ;11:25;вчера 16:38
53000824488091;11.10.2016;Вакансии, резюме, подработка в Польше;3715;204;https://ok.ru/group/53000824488091;ЛОЖЬ;12 апр 2022;вчера 23:59
55956271136876;03.05.2019;Работа ждёт Вас;3672;206;https://ok.ru/group/55956271136876;ЛОЖЬ;9 мая;9 мая
54177647427603;27.03.2012;Работа в Дании(и других странах Скандинавии);3639;207;https://ok.ru/group/54177647427603;ЛОЖЬ;14 авг 2013;1 июн
56616679768083;17.09.2019;Работа для Вас;3617;210;https://ok.ru/group/56616679768083;ЛОЖЬ;10:39;10:38
56137408315398;10.08.2019;Моряки Торгового Флота ⚓ Работа в море, вакансии.;3578;211;https://ok.ru/group/56137408315398;ИСТИНА;25 дек 2023;12:15
61680079077447;06.04.2022;Работа Бийск бесплатное трудоустройство;3571;213;https://ok.ru/group/61680079077447;ЛОЖЬ;23 мая;23 мая
54022434193415;30.07.2012;Работа в Москве и Московской области;3568;214;https://ok.ru/group/54022434193415;ЛОЖЬ;11:46;11:41
55446126985451;11.09.2018;Республиканское агентство занятости населения;3475;215;https://ok.ru/group/55446126985451;ЛОЖЬ;10:07;8:43
54675920978005;26.12.2018;Работа для девушек доска бесплатных объявлений.;3433;217;https://ok.ru/group/54675920978005;ИСТИНА;5:24;31 мая
51293380411468;04.04.2012;Работа в Луганске. Работа вахтовым методом в РФ;3391;219;https://ok.ru/group/51293380411468;ЛОЖЬ;27 мая;10:01
50887997325482;19.07.2011;Работа 56 Вакансии в Бузулуке и области;3386;220;https://ok.ru/group/50887997325482;ЛОЖЬ;10:46;вчера 08:38
52545557954693;03.12.2015;ИЩУ, ПРЕДЛАГАЮ РАБОТУ В Казахстане;3376;221;https://ok.ru/group/52545557954693;ЛОЖЬ;вчера 19:31;вчера 18:43
52046631993453;30.01.2012;Гарантия безопасности;3353;223;https://ok.ru/group/52046631993453;ЛОЖЬ;25 мая;9 мая
54667140005916;13.03.2014;РАБОТА в г.Тихорецке и Тихорецком р-не;3330;225;https://ok.ru/group/54667140005916;ЛОЖЬ;вчера 14:19;1 июн
53599134023888;29.09.2017;Работа вахтой;3305;226;https://ok.ru/group/53599134023888;ЛОЖЬ;30 мая;1 июн
56766122557502;14.06.2013;Институт общественного мнения;3304;227;https://ok.ru/group/56766122557502;ЛОЖЬ;7:57;31 мая
53780577320966;03.01.2012;зерновозы;3271;228;https://ok.ru/group/53780577320966;ЛОЖЬ;вчера 11:10;31 мая
53061194023039;19.02.2014;РАБОТА В СМОЛЕНСКЕ;3248;229;https://ok.ru/group/53061194023039;ЛОЖЬ;вчера 07:21;1 июн
51955547766848;11.12.2012;ОХРАНА;3240;230;https://ok.ru/group/51955547766848;ЛОЖЬ;17 ноя 2023;вчера 18:36
52238247854296;23.09.2014;Работа в городе Свердловске;3178;232;https://ok.ru/group/52238247854296;ЛОЖЬ;5 янв 2021;30 мая
54263927472236;14.11.2016;ARTVIKO AGENCY;3158;233;https://ok.ru/group/54263927472236;ЛОЖЬ;19 июн 2023;6 мар
54273554251993;13.11.2018;Podium.IM;3118;234;https://ok.ru/group/54273554251993;ЛОЖЬ;вчера 20:59;29 мая
53935614656738;03.03.2016;Работа в Актау - Более 100 вакансий;3098;235;https://ok.ru/group/53935614656738;ЛОЖЬ;23 авг 2016;1 июн
55316566704145;28.01.2017;ИЩУ РАБОТУ ПО ФЕРГАНЕ.;3097;236;https://ok.ru/group/55316566704145;ЛОЖЬ;23 мая 2017;4:56
